id,sid,tid,word,lemma,upos,pos,cid,source,relation,word_source,lemma_source,sentiment,CodeType
doc1,1,0,ROOT,ROOT,,,,,,,,1,
doc1,1,1,there,there,ADV,RB,0.0,4.0,expl,established,establish,1,
doc1,1,2,shall,shall,VERB,MD,6.0,4.0,aux,established,establish,1,
doc1,1,3,be,be,VERB,VB,12.0,4.0,auxpass,established,establish,1,
doc1,1,4,established,establish,VERB,VBN,15.0,0.0,root,ROOT,ROOT,1,
doc1,1,5,a,a,DET,DT,27.0,9.0,det,council,council,1,
doc1,1,6,massachusetts,massachusett,NOUN,NNS,29.0,9.0,compound,council,council,1,
doc1,1,7,food,food,NOUN,NN,43.0,9.0,compound,council,council,1,
doc1,1,8,policy,policy,NOUN,NN,48.0,9.0,compound,council,council,1,
doc1,1,9,council,council,NOUN,NN,55.0,4.0,dobj,established,establish,1,
doc1,1,10,",",",",.,",",62.0,9.0,punct,council,council,1,
doc1,1,11,hereinafter,hereinafter,NOUN,NN,64.0,12.0,nsubj,referred,refer,1,
doc1,1,12,referred,refer,VERB,VBD,76.0,9.0,acl,council,council,1,
doc1,1,13,to,to,PRT,TO,85.0,12.0,nmod,referred,refer,1,
doc1,1,14,as,as,ADP,IN,88.0,16.0,case,council,council,1,
doc1,1,15,the,the,DET,DT,91.0,16.0,det,council,council,1,
doc1,1,16,council,council,NOUN,NN,95.0,12.0,nmod,referred,refer,1,
doc1,1,17,.,.,.,.,102.0,4.0,punct,established,establish,1,
doc1,1,0,ROOT,ROOT,,,,,,,,1,
doc1,1,1,the,the,DET,DT,0.0,2.0,det,council,council,1,
doc1,1,2,council,council,NOUN,NN,4.0,4.0,nsubj,consist,consist,1,Attribute
doc1,1,3,shall,shall,VERB,MD,12.0,4.0,aux,consist,consist,1,Deontic
doc1,1,4,consist,consist,VERB,VB,18.0,0.0,root,ROOT,ROOT,1,Aim
doc1,1,5,of,of,ADP,IN,26.0,7.0,case,members,member,1,Object
doc1,1,6,17,17,NUM,CD,29.0,7.0,nummod,members,member,1,Object
doc1,1,7,members,member,NOUN,NNS,32.0,4.0,nmod,consist,consist,1,Object
doc1,1,8,",",",",.,",",39.0,7.0,punct,members,member,1,
doc1,1,9,1,1,NUM,CD,41.0,15.0,nsubj,member,member,1,Object
doc1,1,10,of,of,ADP,IN,43.0,11.0,case,whom,whom,1,Object
doc1,1,11,whom,whom,PRON,WP,46.0,7.0,ref,members,member,1,Object
doc1,1,12,shall,shall,VERB,MD,51.0,15.0,aux,member,member,1,Object
doc1,1,13,be,be,VERB,VB,57.0,15.0,cop,member,member,1,Object
doc1,1,14,a,a,DET,DT,60.0,15.0,det,member,member,1,Object
doc1,1,15,member,member,NOUN,NN,62.0,7.0,acl,members,member,1,Object
doc1,1,16,of,of,ADP,IN,69.0,18.0,case,house,house,1,Object
doc1,1,17,the,the,DET,DT,72.0,18.0,det,house,house,1,Object
doc1,1,18,house,house,NOUN,NN,76.0,15.0,nmod,member,member,1,Object
doc1,1,19,of,of,ADP,IN,82.0,20.0,case,representatives,representative,1,Object
doc1,1,20,representatives,representative,NOUN,NNS,85.0,18.0,nmod,house,house,1,Object
doc1,1,21,;,;,.,:,100.0,7.0,punct,members,member,1,
doc1,1,22,1,1,NUM,CD,102.0,28.0,nsubj,member,member,1,Object
doc1,1,23,of,of,ADP,IN,104.0,24.0,case,whom,whom,1,Object
doc1,1,24,whom,whom,PRON,WP,107.0,22.0,nmod,1,1,1,Object
doc1,1,25,shall,shall,VERB,MD,112.0,28.0,aux,member,member,1,Object
doc1,1,26,be,be,VERB,VB,118.0,28.0,cop,member,member,1,Object
doc1,1,27,a,a,DET,DT,121.0,28.0,det,member,member,1,Object
doc1,1,28,member,member,NOUN,NN,123.0,7.0,dep,members,member,1,Object
doc1,1,29,of,of,ADP,IN,130.0,31.0,case,senate,senate,1,Object
doc1,1,30,the,the,DET,DT,133.0,31.0,det,senate,senate,1,Object
doc1,1,31,senate,senate,NOUN,NN,137.0,28.0,nmod,member,member,1,Object
doc1,1,32,;,;,.,:,143.0,28.0,punct,member,member,1,
doc1,1,33,1,1,NUM,CD,145.0,39.0,nsubj,member,member,1,Object
doc1,1,34,of,of,ADP,IN,147.0,35.0,case,whom,whom,1,Object
doc1,1,35,whom,whom,PRON,WP,150.0,33.0,nmod,1,1,1,Object
doc1,1,36,shall,shall,VERB,MD,155.0,39.0,aux,member,member,1,Object
doc1,1,37,be,be,VERB,VB,161.0,39.0,cop,member,member,1,Object
doc1,1,38,a,a,DET,DT,164.0,39.0,det,member,member,1,Object
doc1,1,39,member,member,NOUN,NN,166.0,28.0,parataxis,member,member,1,Object
doc1,1,40,of,of,ADP,IN,173.0,42.0,case,house,house,1,Object
doc1,1,41,the,the,DET,DT,176.0,42.0,det,house,house,1,Object
doc1,1,42,house,house,NOUN,NN,180.0,39.0,nmod,member,member,1,Object
doc1,1,43,of,of,ADP,IN,186.0,44.0,case,representatives,representative,1,Object
doc1,1,44,representatives,representative,NOUN,NNS,189.0,42.0,nmod,house,house,1,Object
doc1,1,45,who,who,PRON,WP,205.0,44.0,ref,representatives,representative,1,Object
doc1,1,46,shall,shall,VERB,MD,209.0,48.0,aux,appointed,appoint,1,Object
doc1,1,47,be,be,VERB,VB,215.0,48.0,auxpass,appointed,appoint,1,Object
doc1,1,48,appointed,appoint,VERB,VBN,218.0,44.0,acl,representatives,representative,1,Object
doc1,1,49,by,by,ADP,IN,228.0,52.0,case,leader,leader,1,Object
